# x	y_0	y_1	y_2	y_3	y_4	y_5	y_6	y_7
1.067000	1.112223	-0.000568	0.154752	0.000111	8.998273	-0.005903	0.469393	0.000115
1.068000	1.112223	-0.000563	0.154752	0.000108	8.998267	-0.005891	0.469394	0.000115
1.069000	1.112222	-0.000558	0.154753	0.000105	8.998261	-0.005880	0.469394	0.000115
1.070000	1.112222	-0.000553	0.154753	0.000102	8.998255	-0.005868	0.469394	0.000114
1.071000	1.112221	-0.000549	0.154753	0.000099	8.998250	-0.005856	0.469394	0.000114
1.072000	1.112220	-0.000544	0.154753	0.000096	8.998244	-0.005845	0.469394	0.000114
1.073000	1.112220	-0.000539	0.154753	0.000094	8.998238	-0.005833	0.469394	0.000114
1.074000	1.112219	-0.000534	0.154753	0.000091	8.998232	-0.005820	0.469394	0.000114
1.075000	1.112219	-0.000529	0.154753	0.000088	8.998226	-0.005808	0.469394	0.000114
1.076000	1.112218	-0.000524	0.154753	0.000085	8.998220	-0.005796	0.469394	0.000114
1.077000	1.112218	-0.000520	0.154753	0.000082	8.998215	-0.005783	0.469395	0.000113
1.078000	1.112217	-0.000515	0.154753	0.000079	8.998209	-0.005771	0.469395	0.000113
1.079000	1.112217	-0.000510	0.154753	0.000077	8.998203	-0.005758	0.469395	0.000113
1.080000	1.112216	-0.000506	0.154754	0.000074	8.998197	-0.005745	0.469395	0.000112
1.081000	1.112216	-0.000501	0.154754	0.000071	8.998192	-0.005733	0.469395	0.000112
1.082000	1.112215	-0.000497	0.154754	0.000068	8.998186	-0.005720	0.469395	0.000112
1.083000	1.112215	-0.000492	0.154754	0.000065	8.998180	-0.005707	0.469395	0.000112
1.084000	1.112214	-0.000488	0.154754	0.000063	8.998174	-0.005694	0.469395	0.000111
1.085000	1.112214	-0.000483	0.154754	0.000060	8.998169	-0.005681	0.469395	0.000111
1.086000	1.112213	-0.000479	0.154754	0.000057	8.998163	-0.005668	0.469396	0.000110
1.087000	1.112213	-0.000474	0.154754	0.000054	8.998157	-0.005655	0.469396	0.000110
1.088000	1.112212	-0.000470	0.154754	0.000052	8.998152	-0.005641	0.469396	0.000110
1.089000	1.112212	-0.000466	0.154754	0.000049	8.998146	-0.005628	0.469396	0.000109
1.090000	1.112211	-0.000461	0.154754	0.000046	8.998140	-0.005615	0.469396	0.000109
1.091000	1.112211	-0.000457	0.154754	0.000044	8.998135	-0.005602	0.469396	0.000108
1.092000	1.112211	-0.000453	0.154754	0.000041	8.998129	-0.005588	0.469396	0.000108
1.093000	1.112210	-0.000449	0.154754	0.000038	8.998124	-0.005575	0.469396	0.000107
1.094000	1.112210	-0.000445	0.154754	0.000035	8.998118	-0.005562	0.469396	0.000107
1.095000	1.112209	-0.000441	0.154754	0.000033	8.998113	-0.005548	0.469397	0.000107
1.096000	1.112209	-0.000437	0.154754	0.000030	8.998107	-0.005535	0.469397	0.000106
1.097000	1.112208	-0.000433	0.154754	0.000028	8.998102	-0.005522	0.469397	0.000106
1.098000	1.112208	-0.000429	0.154754	0.000025	8.998096	-0.005508	0.469397	0.000105
